id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
19,11.72,0.52,1.58,14.79,142.39,1.47,0.68,0.06,2.16,1.45,1.14,2.64,528.2
20,12.14,0.77,2.07,18.43,70.29,0.95,0.78,0.5,1.23,1.47,0.8,1.58,280.94
21,11.91,1.59,2.26,17.8,77.99,1.47,1.29,0.49,1.52,1.91,1.03,2.12,413.72
22,11.93,0.8,1.65,15.63,145.99,1.63,0.93,0.1,2.3,2.04,1.2,2.82,607.61
23,14.3,1.74,2.42,14.23,94.4,2.43,2.41,0.29,1.92,4.99,0.99,3.5,1254.76
24,12.9,0.88,2.44,20.12,78.84,2.15,0.39,0.43,1.88,10.1,0.41,1.27,395.94
25,13.8,4.06,2.37,19.33,88.29,1.77,0.78,0.47,1.53,8.89,0.56,1.6,464.36
26,13.16,0.9,2.35,12.03,88.3,2.69,2.67,0.06,1.19,3.37,0.68,2.93,814.88
27,12.36,1,1.82,17.49,83.7,1.26,1.06,0.25,1.18,1.75,0.97,2.56,467.21
28,13.57,3.33,2.55,22.2,86.14,1.62,0.07,0.47,0.95,7.6,0.45,1.11,342.67
29,12.71,1.86,2.69,18.82,108.68,2.39,2.04,0.31,1.45,2.81,0.89,2.47,529.48
30,13.2,1.15,2.19,14.49,91.96,2.21,2.25,0.19,1.33,2.33,0.97,3.55,835.75
31,12.74,3.55,2.08,17.82,110.68,1.18,0.04,0.35,0.98,8.69,0.44,1.1,629.51
32,13.42,1.08,2.17,16,91.01,2.22,2.08,0.22,1.9,4.25,0.88,2.15,795.62
33,13.06,2.31,2.37,12.83,105.85,2.26,2.32,0.08,1.25,3.45,0.8,2.86,621.31
34,11.78,0.84,2.24,20.24,97.75,3.24,1.91,0.1,1.52,2.68,0.94,2.97,814.33
35,13.35,0.65,2.04,13.07,113.47,2.45,2.29,0.13,1.6,3.62,0.89,3.09,503.68
36,12.04,2.48,2.13,16.96,83.56,2.26,1.94,0.21,1.81,1.43,1.08,3.08,192
37,12.79,5.44,2.04,20.43,81.41,2.42,2.33,0.26,1.83,1.86,0.66,2.87,278.91
38,12.72,1.88,2.69,18.87,108.88,2.4,2.05,0.31,1.45,2.84,0.89,2.48,533.94
39,13.11,2.58,2.49,22.39,116.12,1.1,1.09,0.16,0.97,7.48,0.48,0.96,348.4
40,12.06,2.49,2.51,25.38,90.09,1.6,0.1,0.57,0.86,6.38,0.56,1.39,727.68
41,13.24,0.76,2.03,14.5,95.6,2.34,2.67,0.21,1.58,6.89,0.92,2.48,986.69
42,12.78,4.65,2.19,20.39,86.09,1.44,0.15,0.55,1.27,6.78,0.49,1.14,572.75
43,13.5,1.61,2.26,17.3,79.46,1.17,-0.11,0.34,0.78,7.83,0.44,1.14,405.58
44,13.48,1.5,2.58,15.89,109.84,2.77,2.43,0.35,1.47,5.46,1.05,2.67,1261.17
45,10.83,-0.05,2.31,18.63,77.86,2.04,1.3,0.33,1.03,1.43,0.94,1.81,210.38
46,12.78,1.27,2.46,16.87,93.17,2.24,2.09,0.25,1.25,3.47,1.04,2.27,998.52
47,13.16,2.65,2.51,22.6,117.02,1.14,1.15,0.17,1.01,7.63,0.49,1,368.25
48,11.78,2.08,2.73,21.37,133.45,1.58,0.95,0.14,1.54,2.41,0.94,2.23,612.93
49,11.46,2.8,1.93,15.26,98.14,0.77,-0.19,0.17,0.58,5.96,0.43,1.31,549.43
50,11.66,2.65,2.17,17.27,108.88,1.58,1.1,0.4,0.83,2.14,0.91,2.37,431.28
51,13.68,0.96,2.12,14.08,108.52,2.78,2.34,0.18,1.65,4.84,0.79,2.84,760.99
52,11.63,1.91,2.73,27.85,89.21,2.01,2.05,0.56,1.65,2.55,0.93,2.3,404.55
53,13.6,1.32,2.65,21.95,98.64,2.9,3.09,0.27,2.29,5.32,1.15,2.59,1233
54,12.82,3.65,2.61,18.15,100.07,2.33,2.28,0.23,1.9,4.19,1,3.42,727.55
55,13.48,3.63,2.26,18.03,82.7,1.52,0.39,0.43,1.31,7.99,0.47,1.33,341.16
56,11.89,1.84,2.31,19.16,90.15,2.22,1.56,0.27,1,1.53,0.67,2.99,264.81
57,13.44,4.7,2.29,19.26,88.81,1.86,0.58,0.44,0.89,3.88,0.86,1.89,479.76
58,14.11,1.5,2.29,10.9,97.31,3.09,3.31,0.25,2.77,6.74,1.12,2.77,1443.64
59,12.55,0.96,2.38,15.93,89.15,2.06,1.81,0.21,1.09,2.81,0.98,2.07,909.77
60,12.9,1.55,2.57,29.65,137.48,3.23,2.78,0.2,1.9,3.1,1.29,3.42,951.56
61,14.17,0.73,1.95,11.26,85.3,2.29,2.16,0.19,1.51,3.3,0.89,2.27,787.09
62,11.37,1.11,1.46,14.59,84.55,1.68,1.3,0.15,0.9,1.28,1.07,2.34,435.52
63,14.02,1.36,2.42,15.81,105.05,3.17,3.72,0.29,1.74,8.22,1.18,2.67,1614.95
64,11.59,2.19,2.11,16.49,85.26,0.78,-0.26,0.31,0.3,3.76,0.49,1.3,273.26
65,12.25,2.13,2.19,17.43,93,0.82,0.45,0.14,0.39,3.61,0.56,0.87,287.46
66,13.23,4.22,2.24,19.82,119.22,1.56,0.64,0.42,1.32,10.07,0.58,1.52,817.78
67,12.79,0.67,2.2,17.32,102.41,2.36,1.83,0.08,1.91,4.04,0.76,2.35,820.33
68,11.55,1.94,2.43,21.24,82.45,1.88,1.58,0.47,1.29,2.55,0.98,2.67,645.76
69,11.23,1.32,2.54,19.12,123.81,1.15,0.28,0.05,1.15,0.85,0.79,1.75,400.38
70,11.07,0.6,2.52,17.76,84.44,2.32,2.25,0.21,2.11,1.1,0.81,2.78,469.21
71,11.6,0.57,2.04,21.34,74.47,1.63,1.5,0.28,1.36,-0.08,0.67,2.11,43.71
72,13.72,0.93,2.18,15.15,87.96,1.89,1.94,0.2,1.29,3.86,1.06,2.47,1124.75
73,12.21,0.78,1.97,18.47,96.44,1.19,0.12,0.47,1.14,6.53,0.47,1.22,495.31
74,12.45,0.11,1.51,13.63,75.84,1.5,1.32,0.15,1.05,2.95,1.03,1.98,168.07
75,12.58,3.16,1.91,15.21,76.6,1.48,1.01,0.4,0.69,2.85,0.65,1.95,297.14
76,14.54,1.24,2.07,12.79,91.83,2.57,2.62,0.24,1.77,4.36,1,2.59,930.97
77,12.41,0.69,1.87,7.93,86.02,2.04,1.78,0.14,0.72,2.11,0.83,2.71,741.81
78,12.46,2.41,2.26,18.26,96.58,0.97,0.7,0.18,0.53,4.19,0.62,1.05,366.29
79,12.78,0.93,2.41,13.6,82.29,2.38,2.19,0.25,1.02,3.06,0.75,2.69,958.91
80,13.48,1.52,2.33,18.69,104.25,2.78,3.07,0.2,1.88,6.62,1.06,2.79,1476.44
81,12.06,1.1,2.5,23.91,77.6,1.98,1.55,0.4,1.38,2.14,1.3,2.7,621.24
82,12.85,4.75,2.21,20.69,87.4,1.49,0.24,0.56,1.33,6.99,0.51,1.2,601.54
83,11.56,0.38,1.72,16.28,80.38,1.85,1.23,0.29,1.61,0.81,0.67,2.44,55.89
84,13.54,4.58,2.12,18.62,74.1,0.72,-0.07,0.35,0.44,3.94,0.49,1.04,284.95
85,13.04,5.79,2.13,21.46,85.84,2.61,2.64,0.3,2,2.57,0.73,3.09,376.37
86,12.52,0.85,1.91,8.41,88.07,2.13,1.93,0.16,0.8,2.44,0.86,2.81,787.05
87,11.39,1.81,3.17,27.78,115.94,3.05,4.87,0.44,1.75,5.5,0.88,3.54,397.46
88,12.39,0.97,2.37,15.93,86.99,2.13,1.81,0.19,1.14,2.63,0.96,3.23,838.4
89,12.7,3.38,2.2,21.08,78.91,1.38,1.16,0.56,1.38,3.81,0.74,1.71,380.75
90,13.42,0.6,2.03,13,103.89,2.58,2.01,0.14,1.46,4.09,0.71,2.61,659
91,12.35,1.14,1.91,19.5,77.57,2.09,1.97,0.27,1.02,4.61,1.11,3.46,500.48
92,11.9,1.57,1.96,18.44,77.03,2.07,1.5,0.16,0.78,0.22,0.72,2.23,83.24
93,12.27,0.42,2.1,16.34,91.89,1.89,1.44,0.24,1.18,1.47,1.12,2.81,293.21
94,12.26,1.69,2.11,17.4,77.03,1,-0.12,0.4,0.28,8.439999,0.43,1.18,272.31
95,12.35,2.19,2.11,20.29,84.96,2.42,2.06,0.23,1.1,1.51,0.85,2.63,258.01
96,14.05,2.36,2.44,19.55,89.06,1.59,0.56,0.42,1.16,9.38,0.59,1.61,617.12
97,13.39,3.08,2.49,21.45,82.94,1.48,-0.15,0.45,0.83,7.08,0.4,0.95,271.96
98,13.73,1.44,2.2,16.54,104.34,2.72,3.28,0.29,1.93,8.31,1.06,2.92,1179.35
99,11.35,0.66,2.48,20.76,86.97,2.43,1.94,0.41,1.4,2.91,1.08,2.26,411.25
100,11.76,0.66,1.79,17.11,83.94,2.01,1.48,0.32,1.76,1.39,0.73,2.62,134.25
101,11.28,2.44,1.76,16.04,74.35,1.45,0.76,0.26,1.36,-0.77,0.73,2.42,285.01
102,13.76,1.49,2.07,15.43,98.56,2.99,3.22,0.19,2.04,5.7,0.87,3.21,931.14
103,13.5,1.31,2.31,12.67,105.33,3.63,3.34,0.27,1.64,6.13,0.92,2.98,1065.05
104,11.63,0.64,2.19,19.66,95.25,3.13,1.74,0.08,1.42,2.28,0.9,2.84,759.17
105,11.15,1.48,3.09,26.79,111.7,2.86,4.57,0.41,1.58,4.81,0.81,3.33,304.03
106,11.92,0.53,2.14,14.3,93.73,1.73,0.58,0.57,0.12,2.09,1.13,1.31,519.7
107,13.68,4.76,2.16,19.17,76.43,0.82,0.09,0.37,0.54,4.32,0.52,1.15,336.33
108,13.1,4.81,2.24,18,84.3,1.21,-0.14,0.43,0.63,5.96,0.47,1.21,504.01
109,13.63,1.31,2.03,14.89,96.23,2.89,3.06,0.17,1.95,5.33,0.83,3.09,879.94
110,13.64,1.56,2.51,14.01,96.78,3.07,3.27,0.13,1.53,4.75,0.81,3.35,1002.06
111,12.85,0.89,2.43,16.28,98.38,1.84,1.72,0.19,1.07,2.31,0.91,2.29,838.84
112,13.86,1.21,2.18,14.82,111.69,2.92,2.56,0.21,1.78,5.36,0.84,3,830.86
113,13.18,0.42,2.04,13.22,86.11,2.46,2.32,0.12,1.37,5.29,0.82,2.96,782.81
114,13.32,0.92,2.35,16.93,109.7,2.52,1.28,0.55,0.41,3.12,1.02,1.92,743.43
115,12.5,3.1,2.16,19.11,102.76,0.96,0.67,0.25,0.73,7.74,0.41,0.82,324.27
116,11.99,1.62,1.99,15.98,83.23,1.15,-0.09,0.54,0.51,5.35,0.56,1.04,457.46
117,11.47,0.78,2.24,19.81,76.64,1.04,0.6,0.42,1.25,2.08,0.9,2.18,243.67
118,12.05,1.46,2.27,22.35,88.06,1.69,1.55,0.41,1.48,2.13,1.3,2.16,452.2
119,13.09,3.95,1.96,16.75,66.09,0.37,-0.63,0.28,0.12,2.64,0.36,0.64,108.2
120,13.68,1.04,2.27,13.04,102.77,2.87,2.74,0.26,1.6,5.25,0.9,2.39,1246.58
121,13.72,1.5,2.27,17.23,96.29,2.46,2.45,0.26,2.11,5.11,0.96,2.42,912.01
122,10.86,0.31,2.45,16.9,80.76,2.16,1.99,0.17,1.96,0.5,0.75,2.6,387.97
123,11.52,2.1,2.09,16.22,84.1,0.73,-0.34,0.3,0.25,3.57,0.47,1.24,247.72
124,13.5,1.2,2.49,15.85,88.21,2.2,2.58,0.17,2.06,4.66,1.15,3.08,1137.32
125,12.81,2.19,2.48,20.57,84.46,1,-0.36,0.39,0.05,2.32,0.69,1.44,243.61
126,12.12,0.92,2.08,20.02,73.41,0.92,1.02,0.39,1.21,1.58,0.71,1.89,254.48
127,12.28,1.6,2.21,20.37,102.87,1.09,1.01,0.37,1.45,3.03,0.906,1.81,867.13
128,11.92,0.66,2.01,19.23,70.01,0.77,0.78,0.36,1.07,1.03,0.66,1.72,179.56
129,14.26,0.85,1.98,11.64,86.9,2.36,2.27,0.2,1.58,3.56,0.92,2.35,822.38
130,12.26,0.42,2.1,16.32,91.82,1.89,1.44,0.24,1.17,1.45,1.12,2.8,291.73
131,11.73,1.34,1.9,17.74,74.05,1.94,1.29,0.14,0.66,-0.26,0.68,2.09,17.49
132,13.11,0.8,2.04,13.8,106.9,2.11,2.12,0.11,1.18,4.05,0.74,2.65,815.24
133,12.58,1.99,2.32,23.04,93.91,0.97,0.8,0.23,0.67,5.04,0.59,1.16,469.74
134,13.8,1.37,2.13,15.09,92.09,2.48,2.06,0.23,1.82,4.07,0.98,3.4,948.89
135,11.6,2.21,1.98,15.14,75.79,2.31,2.14,0.34,2.32,0.32,1.22,2.22,136.71
136,13.48,1.17,2.48,15.76,87.85,2.18,2.56,0.17,2.04,4.6,1.14,3.06,1129.38
137,12.59,-0.09,2.11,13.92,96.83,1.95,0.38,0.44,-0.11,1.03,0.81,1.28,459.55
138,13.4,1.49,2.62,16.24,107.9,2.67,2.62,0.26,1.3,6.64,1.21,2.68,1219.69
139,13.73,1.43,2.59,19.59,113.25,2.87,3.28,0.38,1.65,6.32,1.1,2.48,1091.51
140,12.76,2.66,2.12,16.58,89.78,1.44,0.26,0.54,1.54,9.19,0.43,1.1,493.74
141,12.24,0.39,2.09,16.22,91.4,1.87,1.41,0.23,1.16,1.39,1.11,2.78,282.4
142,11.62,1.44,2,18.7,75.87,1.06,0.85,0.54,0.85,0.41,0.63,2.6,3.45
143,11.69,0.79,2.01,17.94,92.48,0.64,0.28,0.28,1.04,1.34,0.736,1.3,638.11
144,11.3,1.1,1.91,17.82,71.39,2,1.7,0.25,0.8,0.55,0.64,2.6,77.86
145,12.55,1.74,2.16,17.45,109.1,1.17,-0.08,0.43,1.02,7.53,0.43,1.08,599.6
146,13.36,1.33,2.54,15.4,107.74,2.68,2.28,0.33,1.39,5.12,1.01,2.57,1214.97
147,12.13,1.76,2.26,19.27,100.31,0.97,0.54,0.14,0.79,8.9,0.29,0.89,222.26
148,14.16,1.43,2.64,24.26,94.83,2.66,1.09,0.5,2.57,12.49,0.52,1.8,590.11
149,11.19,1.54,3.1,26.97,112.46,2.89,4.62,0.41,1.61,4.94,0.83,3.36,320.73
150,13.64,1.78,2.35,17.05,103.37,2.39,2.65,0.41,1.94,3.74,1.22,2.84,976.11
151,13,0.86,2.16,16.72,95.82,2.41,2.48,0.13,1.54,5.25,0.93,2.37,1290.65
152,11.04,0.83,2.41,23.49,77.26,1.45,0.86,0.31,0.91,0.86,1.19,2.68,325.26
153,11.17,-0.04,2.35,15.23,82.15,1.68,1.38,0.12,1.88,1.13,0.6,2.49,258.8
154,13.3,0.68,1.97,13.02,83.27,2.09,1.44,0.15,1.47,2.63,0.84,2.96,754.29
155,13.5,0.82,2.45,16.7,105.88,2.18,2.15,0.21,1.4,3.91,0.84,1.95,968.63
156,11.59,1.4,1.53,15.48,88.36,1.85,1.57,0.18,1.05,1.9,1.13,2.53,519.59
157,13.1,1.23,2.51,17.31,102.76,2.03,2.02,0.23,1.25,3.02,0.98,2.51,935.37
158,12.14,4.98,2.51,23.4,89.16,1.49,0.12,0.57,0.83,3.89,0.71,1.35,364.29
159,11.7,0.12,1.74,12.21,124.94,1.42,1.08,0.25,2.32,1.6,0.88,1.76,506.13
160,14.21,1.5,2.66,24.47,95.73,2.7,1.15,0.51,2.61,12.63,0.53,1.85,610.04
161,12.93,0.85,2.1,13.63,105.99,2.67,2.52,0.24,1.9,4.34,0.77,2.83,552.26
162,12.29,1.06,1.89,19.28,76.65,2.05,1.91,0.26,0.99,4.46,1.1,3.41,480.17
163,13.38,3.6,2.58,22.71,109.76,1.65,0.83,0.42,1.41,10.48,0.83,1.5,667.64
164,12.16,1.41,2.18,21.31,86.5,0.65,0.29,0.17,0.37,3.83,0.48,0.79,306.4
165,12.93,0.37,2.22,15.31,102.78,2.21,0.79,0.49,0.13,2,0.9,1.57,590.72
166,12.38,0.55,1.87,12.67,85.89,1.87,1.79,0.17,0.88,1.73,0.99,2.09,753.05
167,11.56,1.74,1.88,15.57,95.16,1.53,1.44,0.32,1.08,3.5,1.2,2.05,387.49
168,12.35,2.12,2.12,17.49,89.68,1.43,0.36,0.59,0.77,6.4,0.66,1.37,599.65
169,12.88,3.34,2.32,18.16,104.54,1.33,0.6,0.39,0.88,5.04,0.66,1.68,642.81
170,12.21,4.14,2.66,25.64,98.34,2.04,1.87,0.4,1.56,1.49,0.86,2.94,284.31
171,13.31,0.59,2.08,13.73,88.29,2.55,2.47,0.14,1.46,5.64,0.85,3.07,831
172,11.43,3.46,2.17,19.48,69.22,1.63,1,0.33,0.92,0.85,0.62,2.03,342.31
173,11.81,1.71,1.88,19.46,85.82,2.49,1.63,0.37,1.41,2.03,0.94,2.43,411.07
174,13.57,0.81,2.21,12.9,115.47,2.29,2.25,0.18,1.83,3.77,0.86,3.35,810.75
175,10.93,1.08,2.22,18.68,71.51,1.4,0.82,0.37,0.85,0.77,0.8,2.13,404.58
176,12.95,1.34,2.06,15.01,95.92,2.31,2.49,0.26,1.29,3.36,1.15,2.59,974.11
177,14.2,1.61,2.39,13.83,92.72,2.36,2.29,0.27,1.85,4.72,0.97,3.42,1217.63
